idGruppo,nomeGruppo
196,Gruppo Partito Democratico (PD)
197,Gruppo Movimento Cinque Stelle
199,Gruppo Popolo della Libertà (PDL) - verso PPE (cessato in data 09-04-2014)
200,Gruppo Partito dei Siciliani - MPA
201,Gruppo Grande Sud - PID Cantiere Popolare verso Forza Italia
206,Gruppo Misto
207,Gruppo Articolo quattro (cessato in data 01-04-2015)
208,Gruppo Forza Italia
213,Gruppo Sicilia Democratica
214,Gruppo Patto dei Democratici per le riforme - Sicilia Futura
216,Gruppo Partito Socialista Italiano - PSE
220,Gruppo #DiventeràBellissima
221,Gruppo Il Megafono - Lista Crocetta
222,Gruppo UDC (Unione di Centro - Rete Democratica - Sicilia Vera)
223,Gruppo Arcipelago Sicilia Movimento dei territori Micari Presidente
224,Gruppo Centristi per Micari
225,Gruppo Alternativa Popolare - Centristi per Micari
